company,aka,primary_domain,verdict,matched_categories,evidence,rationale
Aduro Advisors,Aduro Advisors,Fund administration (VC/PE),NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
Carne Group,Carne Group,"Third-party ManCo / fund governance, regulatory & oversight",FIT,compliance; risk; aml; governance,compliance: compliance; compliance: regulatory; risk: risk management; aml: aml; governance: governance; governance: oversight; governance: director services; governance: manco; governance: aifm; governance: management company,"GRC is the core offering (core/RegTech/surveillance/governance signal present, no demotion)."
Sanne,Sanne (Apex Group),Fund & corporate administration,ADJACENT,compliance; aml; kyc,compliance: regulatory; compliance: regulatory reporting; aml: aml; kyc: kyc,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Standish Management,Standish Management,Fund administration (PE/VC),NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
Ultimus Fund Solutions,Ultimus Fund Solutions,Fund administration (mutual/alternative),ADJACENT,compliance; aml; kyc,compliance: compliance; aml: aml; kyc: kyc,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
NES Financial,NES Financial (JTC),Specialty fund admin & escrow,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
IQEQ,IQ-EQ,Investor & fund services + regulatory/compliance services,ADJACENT,compliance; aml; kyc; governance,compliance: compliance; compliance: regulatory; compliance: regulatory reporting; aml: aml; kyc: kyc; governance: governance,GRC present but described as secondary to a non-GRC core business.
E78 (Fund Solutions Division),E78 Partners - Fund Solutions,Finance & accounting outsourcing / fund admin,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
BlueMatrix,BlueMatrix,Investment research authoring & distribution,ADJACENT,compliance; aml,compliance: compliance; aml: aml,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Gen II,Gen II Fund Services,Private equity fund administration,ADJACENT,compliance,compliance: regulatory,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Centralis,Centralis Group,Fund & corporate administration,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
Private Equity Administrations,Private Equity Administrators / PEA,Private equity fund administration,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
Coopery Parry,Cooper Parry,Accountancy & business advisory firm,ADJACENT,aml; kyc,aml: aml; kyc: kyc,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Intertrust,Intertrust (CSC),Corporate & fund administration / trust services,ADJACENT,compliance; aml; kyc,compliance: compliance; compliance: regulatory; aml: aml; kyc: kyc,"GRC terms appear only as a feature/back-office step, not the core business -- excluded under strict screening."
Mainstream,Mainstream Group (Apex),Fund administration,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
Strata Fund Solutions,Strata Fund Solutions,Fund administration,NO,,,No risk/compliance/AML/KYC/fraud/governance terms in core business.
