deal_id,acquirer,target,announced,verdict,ev_multiple,revenue_multiple,implied_multiple,deal_value_usd_m,notes
thl-odessa,"Thomas H. Lee Partners, L.P. (THL)","Odessa Technologies, Inc. (Odessa)",2021-09,not_available,,,,,"Entities verified per hint: Odessa Technologies, asset finance / equipment leasing software (Odessa Platform), investment announced Sep 15, 2021. Press language is 'investment ... to accelerate growth'; stake size undisclosed, so classified minority/growth (some databases log it as a PE growth round). Deal value and target financials are simply not public."
veritas-candescent,Veritas Capital,NCR Voyix digital banking business (rebranded Candescent),2024-08,calculable,,,~4.2x EV/Revenue (FY2023 segment revenue); ~11x EV/Adj. EBITDA (soft),2450,"Entities as hinted: Veritas Capital acquired NCR Voyix's (NYSE: VYX) Digital Banking segment, renamed Candescent, announced Aug 6, 2024 for $2.45B + up to $100M contingent. No explicit multiple found stated in credible coverage within search budget, but seller is public with segment financials disclosed, so an EV/Revenue multiple of ~4.2x is computable; EBITDA-based ~11x is indicative only. Exact segment revenue ($577M vs $579M across reports) unverified against the 10-K due to proxy block - rounding does not change the ~4.2x result."
rocket-mrcooper,"Rocket Companies, Inc.",Mr. Cooper Group Inc.,2025-03,calculable,,,~4.2x Price/FY2024 revenue (equity value basis); ~14.1x P/FY2024 net income,9400,"Both parties public (NYSE: RKT / NASDAQ: COOP), so all inputs are firm from filings. No EV or revenue multiple was stated in the announcement; press coverage emphasized the 35% premium and $500M synergy target instead. Announced March 31, 2025; completed October 1, 2025 at ~$14.2B due to Rocket share appreciation."
blackstone-inhabit,"Blackstone (Blackstone Tactical Opportunities), with Greater Sum Ventures",Inhabit (Inhabit IQ),2024-12,not_available,,,,,"Hint date resolved: the Blackstone transaction was announced December 2024, not ~2021. The ~2021-era event was a different investor — Goldman Sachs merchant banking invested in Inhabit in December 2020. Blackstone's 2024 deal is a minority preferred-equity investment, not a buyout; no financial terms, no target financials, and no multiple published anywhere credible."
altus-situsamc,Altus Group Limited (TSX: AIF),"SitusAMC's commercial real estate valuation and advisory services business (""REVS"", carved out of Situs Group LLC)",2023-11,published,"13.4x (Net purchase price (~US$190M after tax step-up) / FY2023E normalized EBITDA (~US$14.2M), as stated in Altus Group's press release)",,~4.9x EV/2023E revenue (gross); ~4.1x on net purchase price,225,"Typo resolution: 'Atlus' = Altus Group. Direction verified: Altus Group acquired a business unit OF SitusAMC (the commercial real estate valuation services business, REVS) — not the whole company, and not the reverse. The 13.4x 2023 normalized EBITDA multiple was published by Altus itself; the multiple is computed on the net ~US$190M price (gross US$225M would imply ~15.8x EBITDA)."
costar-onthemarket,"CoStar Group, Inc.",OnTheMarket plc (AIM: OTMP),2023-10,published,"11x (EV (~GBP 87M) / trailing-twelve-month adjusted EBITDA (~GBP 8M, TTM to July 31, 2023), stated in CoStar's offer press release)","2.5x (EV (~GBP 87M) / trailing-twelve-month revenue (~GBP 35M, TTM to July 31, 2023), stated in CoStar's offer press release)",~2.5x EV/TTM revenue (confirms published figure),120,"CoStar's own announcement published the transaction multiples (2.5x TTM revenue, 11x TTM adjusted EBITDA on ~GBP 87M EV), so verdict is 'published'. GBP-USD conversion is approximate (~1.21 at announcement). CoStar press-room page returned 403 to direct fetch; multiples were quoted in search-indexed copies of the same release (Business Wire/press room). Formal Rule 2.7 announcement available via Investegate/LSE RNS."
constellation-optimalblue,Constellation Software Inc. (Perseus operating group),"Optimal Blue (business of Black Knight, Inc.)",2023-07,partially_calculable,,,"~6.4x EV/Revenue (on a stale, 2020-era revenue figure)",700,"Hint date resolved: announced July 17, 2023 and closed September 15, 2023 — not 2024. Deal value and structure ($700M = $200M cash + $500M promissory note) are firmly published; no valuation multiple was published, and the only public revenue benchmark is the ~$110M figure from the 2020 sale to Black Knight (which was widely noted as making the $700M exit roughly 40% of Black Knight's $1.8B purchase price). ICE IR page returned 403 to direct fetch; terms confirmed across CSI press release, HousingWire, Globe and Mail, and Business Wire copies."
fnf-titlepoint,"Fidelity National Financial, Inc. (FNF)","TitlePoint (line of business of Black Knight, Inc.)",2022-11,partially_calculable,,,~5.6x EV/Revenue (annualized Q3 2022 run-rate),225,"Typo resolution: 'National Financial' = Fidelity National Financial (FNF). No multiple was published. The ~$10M Q3 2022 TitlePoint revenue figure (attributed to Black Knight) appeared consistently across Inman/HousingWire search results, but the articles themselves returned 403 to direct fetch, so the exact wording is unverified — treated as a soft input, hence 'partially_calculable' rather than 'calculable'. FNF originally sold Property Insight/TitlePoint to Black Knight in 2014 with a change-of-control repurchase right, exercised after ICE agreed to buy Black Knight in May 2022."
voxtur-bluewater,Voxtur Analytics Corp. (TSXV: VXTR),"Blue Water Financial Technologies Holding Company, LLC",2022-08,calculable,,,~8.9x Price/FY2021 revenue (~5.6x TTM revenue; ~15.1x FY2021 net income),101,"Hint date corrected: deal was announced August 2022 and closed September 2022, not 2021 (the 2021 reference matches the FY2021 financials disclosed in the deal PR). No multiple was published; implied multiples computed from press-release figures. Direct fetch of the GlobeNewswire release was blocked (403), so revenue/net income figures rely on search-result excerpts of that release corroborated across multiple outlets."
stewart-informative-research,Stewart Information Services Corporation (NYSE: STC),Informative Research,2021-08,not_available,,,,192,"Deal value firmly disclosed at $192M, but three searches found no published revenue/EBITDA figure for Informative Research (only customer count of 3,000+), so no multiple was published and none is calculable from public information."
blend-title365,"Blend Labs, Inc.",Title365 (acquired from Mr. Cooper Group),2021-03,calculable,,,~2.2x implied equity value / 2020 revenue (~2.0x on the 90.1% price alone; ~2.4x if the reported $500M EV is used),422.1,"Both inputs are firm and from SEC filings: purchase price ($422.1M for 90.1%) and Title365 2020 revenue ($212.1M) are disclosed in Blend's S-1. No source found that explicitly stated the multiple, so verdict is calculable rather than published. Blend later sold Title365 to Covius (announced June 2025), unrelated to this transaction."
ideanomics-timios,"Ideanomics, Inc. (NASDAQ: IDEX)",Timios Holdings Corp.,2020-11,calculable,,,~0.9x Price / FY2019 revenue (roughly 0.6-0.7x on 2020 revenue of over $60M YTD),40,"Hint date adjusted: the definitive agreement was announced November 2020; January 11, 2021 was the completion date. No multiple was published. Multiple computed on the $40M headline against firm FY2019 revenue of $45.1M; the 2020-based multiple is softer since only 'over $60M YTD' was disclosed. Direct fetch of the PR Newswire release was blocked (403); figures corroborated across PR excerpts, Seeking Alpha, and MarketScreener."
stg-alveo,Symphony Technology Group (STG),"Alveo (formerly Asset Control), acquired from Sovereign Capital Partners",2023-01,not_available,,,,,"Transaction verified per hint: STG (Symphony Technology Group) took a majority stake in Alveo, announced January 18-19, 2023 (not earlier), buying out Sovereign Capital Partners, which had backed the Asset Control MBO in 2018 (rebranded Alveo in 2020). Terms undisclosed and no target financials public, so no multiple is published or calculable. Alveo subsequently merged with Gresham Technologies in 2024 under STG."
gemspring-goldensource,Gemspring Capital (via affiliate),GoldenSource Corp.,2022-05,not_available,,,,,"Deal confirmed as announced May 17, 2022: Gemspring Capital affiliate acquired GoldenSource, an enterprise data management (EDM) / master data management provider for financial services. All sources consistently report terms as undisclosed; no valuation multiple published and no inputs available to compute one."
meridianlink-openclose,"MeridianLink, Inc. (NYSE: MLNK)",OpenClose,2022-11,calculable,,,~5.4x EV/Revenue (run-rate),65,"No multiple was published by the company or trade press; the ~5.4x is implied from the disclosed $65M price and the CFO's ~$1M/month revenue disclosure on the Q3 2022 earnings call as reported by National Mortgage News. Deal closed November 8, 2022."
walkerdunlop-geophy,"Walker & Dunlop, Inc. (NYSE: WD)",GeoPhy,2022-02,not_available,,,,85,"'Walker Dunlap' in the source list confirmed as a typo for Walker & Dunlop (NYSE: WD). Announced February 7, 2022; closed February 28, 2022. Deal value is public but no GeoPhy financial metric (revenue/ARR/EBITDA) was found in any public source, so no multiple can be computed. Earn-out is contingent on acquirer business goals, not target financials, further muddying any effective total consideration."
nasdaq-adenza,"Nasdaq, Inc. (NASDAQ: NDAQ)","Adenza (Calypso + AxiomSL), acquired from Thoma Bravo",2023-06,published,~31x (Purchase price / CY2023E EBITDA (widely reported alongside the announcement; investor materials also cited a synergy-adjusted multiple)),~18x (Purchase price / CY2023E revenue of ~$590M),~17.8x EV/2023E Revenue; ~30.7x EV/2023E EBITDA,10500,"Announced June 12, 2023; closed November 2023. Multiples were explicitly quantified in announcement-day coverage and investor materials (~18x 2023E revenue, ~31x 2023E EBITDA), and are independently reproducible from the press release inputs ($590M 2023E revenue, 58% adj. EBITDA margin). WebFetch of the ir.nasdaq.com press release returned HTTP 403, so exact press-release wording of the multiple was verified via the SEC-filed exhibit reference and CNBC coverage rather than the IR page itself."
project-lion-confidential,Project Lion,Confidential,,excluded,,,,,Confidential / code-named deal - no public identity to research.
apax-finastra,Funds advised by Apax Partners LLP,Finastra Treasury and Capital Markets (TCM) division (subsequently spun out as 'Teciem'),2025-05,partially_calculable,,,~10x EV/EBITDA (highly indicative),2000,"Confirmed this is the TCM carve-out announced May 2025 (agreement signed; sale by Vista Equity Partners-owned Finastra to an Apax affiliate; Evercore sell-side advisor; expected close H1 2026; unit rebranded Teciem) — not any other Apax/Finastra transaction. No multiple published anywhere credible; the ~10x EV/EBITDA is indicative only, built entirely on unofficial reported figures."
sofi-technisys,"SoFi Technologies, Inc. (NASDAQ: SOFI)",Technisys S.A. (Cyberbank cloud-native core banking platform),2022-02,partially_calculable,,,~15.7x EV/Revenue,1100,"Source row had parties swapped ('Technisys / Sofi'); verified SoFi Technologies is the acquirer and Technisys the target, announced February 22, 2022, closed Q2 2022. No multiple published in the press release or investor deck coverage found; SoFi instead disclosed forward synergy guidance ($500-800M cumulative incremental revenue through 2025). Implied ~15.7x rests on a press-reported ~$70M CY2021 revenue estimate, hence partially_calculable rather than calculable."
fiserv-finxact,"Fiserv, Inc. (NASDAQ: FISV)","Finxact, Inc. (cloud-native core banking)",2022-02,partially_calculable,,,~26x-33x price/revenue (highly indicative),650,"Announced February 7, 2022; completed later in 2022. No multiple published in the press release or credible trade coverage. Finxact never disclosed standalone revenue/ARR; the only public financial metric is Baird's $20-25M annual revenue estimate, and the $650M covers only the ownership Fiserv did not already hold — both make any implied multiple soft."
ncino-simplenexus,"nCino, Inc.","SimpleNexus, LLC",2021-11,published,,28.8x (Deal value ($1.2B) / SimpleNexus trailing 12-month revenue ($41.6M)),~28.8x deal value / TTM revenue (or ~22x on annualized revenue incl. LBA Ware),1200,"Announced Nov 16, 2021; closed Jan 2022 (end of nCino fiscal Q4 FY22). The 28.8x revenue multiple and the $41.6M TTM / ~$54M annualized revenue figures were surfaced in search results attributed to trade press coverage (TechBuzz News, a Utah tech outlet); the multiple is arithmetically consistent ($1,200M/$41.6M=28.8x) but was not verified directly on-page (SEC and investor pages returned 403 to fetch). No EV-basis multiple published; deal-value/revenue used as proxy."
motive-backbase,Motive Partners,Backbase,2022-06,partially_calculable,,,~12.5x valuation / revenue (upper bound),128,"Date in the brief was wrong: the Motive Partners EUR 120M investment in Backbase was announced June 9, 2022, not 2024. No 2024 Motive-Backbase transaction was found in searches. Figures otherwise match the hint (EUR 120M at EUR 2.5B). No explicit multiple published; implied ~12.5x is an upper bound derived from the 'over EUR 200M' revenue disclosure in Backbase's own press release (direct page fetch returned 403; figures corroborated across multiple search results)."
ncino-fullcircl,"nCino, Inc.",FullCircl Ltd,2024-10,not_available,,,,135,"FullCircl (UK; formed from the DueDil/Artesian combination) is private; no revenue or ARR figure surfaced within the search budget - qualitative disclosures only (500+ clients incl. NatWest, Allica Bank, Amex, Metro Bank, Solaris). nCino's Q3 FY25 earnings release (Dec 2024) and 8-K may state an expected FullCircl revenue contribution, but investor.ncino.com and sec.gov both returned 403 to fetch attempts, so this remains unverified. If nCino guidance quantified FullCircl's contribution, the verdict could improve to partially_calculable."
csi-apiture,"Computer Services, Inc. (CSI)","Apiture, Inc.",2025-08,not_available,,,,,"Transaction verified: CSI (Computer Services, Inc., core banking provider taken private by Centerbridge Partners and Bridgeport Partners in 2022) announced a definitive agreement to acquire Apiture on Aug 19, 2025 and completed the acquisition Oct 22, 2025. Both parties private and neither disclosed price or target financials; no credible source published a multiple. The only public financial breadcrumb is Live Oak Bancshares' ~$24M pre-tax gain on its (undisclosed-size) Apiture stake, insufficient for any valuation math."
